LA1 1,Local,LANCASTER
LA1 2,Local,LANCASTER
LA1 3,Local,LANCASTER
LA1 4,Local,SCOTFORD
LA1 5,Local,LANCASTER
LA11 6,Area-D,WITHERSLACK
LA11 7,Area-D,GRANGE
LA2 0,Area-A,GALGATE
LA2 6,Local,SLYNE
LA2 7F,Area-B,BENTHAM/LOWGILL
LA2 7,Area-B,BENTHAM
LA2 8Q,Area-B,WRAY
LA2 8J,Area-B,HORNBY
LA2 8B,Area-C,AUSTWICK
LA2 8H,Area-C,CLAPHAM/TATHAM
LA2 9O,Area-A,CATON
LA2 9N,Area-A,CATON
LA2 9A,Area-B,DOLPHINHOLME
LA23 1,Area-D,WINDERMERE
LA23 2,Area-D,WINDERMERE
LA23 3,Area-D,WINDERMERE
LA3 1,Local,MORECAMBE
LA3 2,Local,HEYSHAM
LA3 3,Local,MIDDLETON/MORECAMBE
LA4 4,Local,MORECAMBE
LA4 5,Local,MORECAMBE
LA4 6,Local,MORECAMBE
LA5 0,Area-B,SILVERDALE/ARNSIDE
LA5 8,Local,BOLTON LE SANDS
LA5 9,Local,CARNFORTH
LA6 1,Area-A,CARNFORTH/BURTON OVER KELLET
LA6 2,Area-B,KIRKBY LONSDALE/BARBON
LA8 0,Area-C,KILLINGTON
LA6 3L,Area-B,BURTON IN LONSDALE
LA6 3E,Area-B,INGLETON
LA6 3F,Area-B,INGLETON
LA6 3N,Area-B,INGLETON
LA6 3J,Area-C,CHAPEL LE DALES
LA7 7,Area-B,MILNTHORPE
LA8 0,Area-C,OLD  HUTTON/ENDMOOR
LA8 8,Area-C,LEVENS
LA8 9,Area-C,STAVELEY
LA9 4,Area-C,KENDAL
LA9 5,Area-C,KENDAL
LA9 6,Area-C,KENDAL
LA9 7,Area-C,KENDAL
LA10 1,Area-E,Sedbergh only
PR3 1,Area-B,GARSTANG/CATTERAL ONLY
